Gradient step: 0 	 Performance: 0.05 	 Training loss: 3.83
Gradient step: 24 	 Performance: 0.045 	 Training loss: 30.22
Gradient step: 49 	 Performance: 0.08 	 Training loss: 19.50
Gradient step: 74 	 Performance: 0.08 	 Training loss: 17.27
Gradient step: 99 	 Performance: 0.06 	 Training loss: 16.81
Gradient step: 124 	 Performance: 0.09 	 Training loss: 16.45
Gradient step: 149 	 Performance: 0.075 	 Training loss: 16.24
Gradient step: 174 	 Performance: 0.075 	 Training loss: 15.99
Gradient step: 199 	 Performance: 0.13 	 Training loss: 15.49
Gradient step: 224 	 Performance: 0.22 	 Training loss: 14.42
Gradient step: 249 	 Performance: 0.23 	 Training loss: 12.17
Gradient step: 274 	 Performance: 0.345 	 Training loss: 10.34
Gradient step: 299 	 Performance: 0.25 	 Training loss: 9.15
Gradient step: 324 	 Performance: 0.385 	 Training loss: 8.42
Gradient step: 349 	 Performance: 0.365 	 Training loss: 7.57
Gradient step: 374 	 Performance: 0.355 	 Training loss: 6.74
Gradient step: 399 	 Performance: 0.54 	 Training loss: 6.30
Gradient step: 424 	 Performance: 0.615 	 Training loss: 5.49
Gradient step: 449 	 Performance: 0.67 	 Training loss: 4.90
Gradient step: 474 	 Performance: 0.63 	 Training loss: 4.74
Gradient step: 499 	 Performance: 0.695 	 Training loss: 4.10
Gradient step: 524 	 Performance: 0.625 	 Training loss: 3.61
Gradient step: 549 	 Performance: 0.67 	 Training loss: 3.69
Gradient step: 574 	 Performance: 0.785 	 Training loss: 3.10
Gradient step: 599 	 Performance: 0.865 	 Training loss: 2.69
Gradient step: 624 	 Performance: 0.91 	 Training loss: 2.23
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/dlygointl/None' already exists!
Gradient step: 0 	 Performance: 0.07 	 Training loss: 2.99
Gradient step: 24 	 Performance: 0.05 	 Training loss: 27.86
Gradient step: 49 	 Performance: 0.07 	 Training loss: 19.91
Gradient step: 74 	 Performance: 0.045 	 Training loss: 17.52
Gradient step: 99 	 Performance: 0.075 	 Training loss: 16.85
Gradient step: 124 	 Performance: 0.07 	 Training loss: 16.54
Gradient step: 149 	 Performance: 0.105 	 Training loss: 16.29
Gradient step: 174 	 Performance: 0.025 	 Training loss: 16.30
Gradient step: 199 	 Performance: 0.075 	 Training loss: 15.99
Gradient step: 224 	 Performance: 0.055 	 Training loss: 15.66
Gradient step: 249 	 Performance: 0.08 	 Training loss: 15.19
Gradient step: 274 	 Performance: 0.1 	 Training loss: 14.65
Gradient step: 299 	 Performance: 0.085 	 Training loss: 14.21
Gradient step: 324 	 Performance: 0.125 	 Training loss: 13.47
Gradient step: 349 	 Performance: 0.145 	 Training loss: 12.40
Gradient step: 374 	 Performance: 0.225 	 Training loss: 11.18
Gradient step: 399 	 Performance: 0.28 	 Training loss: 10.31
Gradient step: 424 	 Performance: 0.235 	 Training loss: 9.27
Gradient step: 449 	 Performance: 0.38 	 Training loss: 8.14
Gradient step: 474 	 Performance: 0.405 	 Training loss: 7.28
Gradient step: 499 	 Performance: 0.435 	 Training loss: 6.51
Gradient step: 524 	 Performance: 0.67 	 Training loss: 5.82
Gradient step: 549 	 Performance: 0.74 	 Training loss: 5.00
Gradient step: 574 	 Performance: 0.625 	 Training loss: 4.61
Gradient step: 599 	 Performance: 0.895 	 Training loss: 3.99
Gradient step: 624 	 Performance: 0.845 	 Training loss: 3.46
Gradient step: 649 	 Performance: 0.925 	 Training loss: 2.98
