Gradient step: 0 	 Performance: 0.075 	 Training loss: 2.98
Gradient step: 24 	 Performance: 0.085 	 Training loss: 115.07
Gradient step: 49 	 Performance: 0.09 	 Training loss: 44.51
Gradient step: 74 	 Performance: 0.025 	 Training loss: 37.22
Gradient step: 99 	 Performance: 0.0 	 Training loss: 30.73
Gradient step: 124 	 Performance: 0.065 	 Training loss: 24.38
Gradient step: 149 	 Performance: 0.125 	 Training loss: 21.91
Gradient step: 174 	 Performance: 0.245 	 Training loss: 20.43
Gradient step: 199 	 Performance: 0.37 	 Training loss: 19.13
Gradient step: 224 	 Performance: 0.595 	 Training loss: 17.92
Gradient step: 249 	 Performance: 0.815 	 Training loss: 16.68
Gradient step: 274 	 Performance: 0.88 	 Training loss: 15.54
Gradient step: 299 	 Performance: 0.93 	 Training loss: 14.43
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/None/rtgoseql/None' created successfully!
Gradient step: 0 	 Performance: 0.04 	 Training loss: 3.02
Gradient step: 24 	 Performance: 0.06 	 Training loss: 44.69
Gradient step: 49 	 Performance: 0.0 	 Training loss: 26.64
Gradient step: 74 	 Performance: 0.0 	 Training loss: 22.00
Gradient step: 99 	 Performance: 0.635 	 Training loss: 18.98
Gradient step: 124 	 Performance: 0.7 	 Training loss: 15.83
Gradient step: 149 	 Performance: 0.595 	 Training loss: 14.05
Gradient step: 174 	 Performance: 0.8 	 Training loss: 11.66
Gradient step: 199 	 Performance: 0.765 	 Training loss: 10.33
Gradient step: 224 	 Performance: 0.885 	 Training loss: 10.00
Gradient step: 249 	 Performance: 0.875 	 Training loss: 9.65
Gradient step: 274 	 Performance: 0.785 	 Training loss: 6.95
Gradient step: 299 	 Performance: 0.76 	 Training loss: 6.78
Gradient step: 324 	 Performance: 0.765 	 Training loss: 6.21
Gradient step: 349 	 Performance: 0.76 	 Training loss: 6.56
Gradient step: 374 	 Performance: 0.875 	 Training loss: 8.92
Gradient step: 399 	 Performance: 0.83 	 Training loss: 5.12
Gradient step: 424 	 Performance: 0.805 	 Training loss: 3.91
Gradient step: 449 	 Performance: 0.885 	 Training loss: 3.84
Gradient step: 474 	 Performance: 0.955 	 Training loss: 3.43
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/rtgoseql/conformal' created successfully!
Gradient step: 0 	 Performance: 0.07 	 Training loss: 3.01
Gradient step: 24 	 Performance: 0.055 	 Training loss: 53.52
Gradient step: 49 	 Performance: 0.12 	 Training loss: 34.64
Gradient step: 74 	 Performance: 0.015 	 Training loss: 23.68
Gradient step: 99 	 Performance: 0.225 	 Training loss: 20.75
Gradient step: 124 	 Performance: 0.765 	 Training loss: 18.39
Gradient step: 149 	 Performance: 0.965 	 Training loss: 16.16
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/sym/rtgoseql/None' created successfully!
Gradient step: 0 	 Performance: 0.045 	 Training loss: 3.02
Gradient step: 24 	 Performance: 0.055 	 Training loss: 45.44
Gradient step: 49 	 Performance: 0.0 	 Training loss: 26.93
Gradient step: 74 	 Performance: 0.0 	 Training loss: 22.42
Gradient step: 99 	 Performance: 0.405 	 Training loss: 19.61
Gradient step: 124 	 Performance: 0.79 	 Training loss: 16.52
Gradient step: 149 	 Performance: 0.88 	 Training loss: 14.06
Gradient step: 174 	 Performance: 0.68 	 Training loss: 11.97
Gradient step: 199 	 Performance: 0.735 	 Training loss: 10.56
Gradient step: 224 	 Performance: 0.725 	 Training loss: 9.00
Gradient step: 249 	 Performance: 0.66 	 Training loss: 9.04
Gradient step: 274 	 Performance: 0.9 	 Training loss: 9.08
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/rtgoseql/conformal' created successfully!
Gradient step: 0 	 Performance: 0.07 	 Training loss: 3.00
Gradient step: 24 	 Performance: 0.05 	 Training loss: 58.90
Gradient step: 49 	 Performance: 0.135 	 Training loss: 38.78
Gradient step: 74 	 Performance: 0.07 	 Training loss: 26.74
Gradient step: 99 	 Performance: 0.045 	 Training loss: 22.21
Gradient step: 124 	 Performance: 0.325 	 Training loss: 20.04
Gradient step: 149 	 Performance: 0.68 	 Training loss: 17.95
Gradient step: 174 	 Performance: 0.91 	 Training loss: 15.86
Folder '/om2/user/leokoz8/code/rnns-of-rnns/models/spectral/rtgoseql/None' created successfully!
